"Name";"Size";"ID";"Source";"Color"
"Agni, Indian Avatar";"M";NA;NA;NA
"Agnibarra";"S";NA;NA;NA
"Ahklut";"H";NA;NA;NA
"Ahmaergo";"M";NA;NA;NA
"Ahrimanes";"L";NA;NA;NA
"Ahu-Nixta";"L";NA;NA;NA
"Ahu-Nixta Cataphract";"L";NA;NA;NA
"Ahu-Nixta Drudge";"M";NA;NA;NA
"Ahuizotl";"S";NA;NA;NA
"Air Bender";"M";NA;NA;NA
"Air Elemental";"L";"53202e70-c49c-4e07-a524-d4ecf3bd0107";"";"TRUE"
"Air Elemental Myrmidon";"M";NA;NA;NA
"Air Elemental, Huge";"H";"53202e70-c49c-4e07-a524-d4ecf3bd0107";"";"TRUE"
"Air Elemental, Medium";"M";"53202e70-c49c-4e07-a524-d4ecf3bd0107";"";"TRUE"
"Air Guardian";"M";NA;NA;NA
"Air Mephit";"S";NA;NA;NA
"Ak'chazzar Rakshasa";"M";NA;NA;NA
"Akaasit";"M";NA;NA;NA
"Akhlut";"L";NA;NA;NA
"Akop";"S";NA;NA;NA
"Akroan Hoplite";"M";NA;NA;NA
"Akyishigal, Demon Lord of Cockroaches";"L";NA;NA;NA
"Al-Aeshma Genie";"L";NA;NA;NA
"Ala";"M";NA;NA;NA
"Alabaster Tree";"H";NA;NA;NA
"Alagarthas";"M";NA;NA;NA
"Alarm Jellyfish";"T";NA;NA;NA
"Alastor";"L";NA;NA;NA
"Albino Death Weasel";"L";NA;NA;NA
"Albino Dwarf Spirit Warrior";"M";NA;NA;NA
"Albino Dwarf Warrior";"M";NA;NA;NA
"Alchemical Apprentice";"S";NA;NA;NA
"Alchemical Golem";"L";NA;NA;NA
"Alchemical Homunculus";"T";NA;NA;NA
"Alchemical Skunk";"S";NA;NA;NA
"Alchemist";"M";NA;NA;NA
"Alchemist Archer";"M";NA;NA;NA
"Aldani (Lobsterfolk)";"M";NA;NA;NA
"Alehouse Drake";"T";NA;NA;NA
"Algaepygmy";"S";NA;NA;NA
"Algoid";"M";NA;NA;NA
"Algoran, Flesh Hunter";"M";NA;NA;NA
"Algorith";"M";NA;NA;NA
"Alhoon";"M";"2ffd0afc-7df8-de87-982e-e53fe523051c";"https://talespire.thunderstore.io/package/isopropanol/MonsterA/";"FALSE"
"Alkahzir";"M";NA;NA;NA
"Alkilith";"M";NA;NA;NA
"Alkonost";"S";NA;NA;NA
"Alley Reaper";"M";NA;NA;NA
"Alligator";"M";NA;NA;NA
"Alligator Turtle";"M";NA;NA;NA
"Allip";"M";"a7acc5bd-0fbc-b614-11d0-8be92d78b208";"https://talespire.thunderstore.io/package/isopropanol/MonsterA/";"FALSE"
"Alliumite";"S";NA;NA;NA
"Allosaurus";"L";"bd2a7706-0235-b8da-d061-da3018389191";"https://talespire.thunderstore.io/package/isopropanol/MonsterA/";"FALSE"
"Allosaurus Zombie";"L";NA;NA;NA
"Almiraj";"S";NA;NA;NA
"Alnaar";"L";NA;NA;NA
"Alodon, the Red Lion of Afeonia";"L";NA;NA;NA
"Alp";"M";NA;NA;NA
"Alpha Fish";"L";NA;NA;NA
"Alpha Garkain";"L";NA;NA;NA
"Alpha War Eagle";"L";NA;NA;NA
"Alpha Yek";"M";NA;NA;NA
"Alquam, Demon Lord of Night";"H";"20f28177-917e-bdea-9d42-1fb7f9133962";"https://talespire.thunderstore.io/package/isopropanol/MonsterA/";"FALSE"
"Alraune";"L";NA;NA;NA
"Alrune";"M";NA;NA;NA
"Alseid";"M";NA;NA;NA
"Alseid Grovekeeper";"M";NA;NA;NA
"Alsikaya, the Screeching Mother of Volcanoes";"H";NA;NA;NA
"Altar Flame Golem";"L";NA;NA;NA
"Alu-fiend";"M";NA;NA;NA
"Alyxian Aboleth";"L";NA;NA;NA
"Alyxian the Absolved";"M";NA;NA;NA
"Alyxian the Callous";"L";NA;NA;NA
"Alyxian the Dispossessed";"M";NA;NA;NA
"Alyxian the Hunter";"M";NA;NA;NA
"Alyxian the Tormented";"H";NA;NA;NA
"Ama Tsu Mara, Japanese Avatar";"M";NA;NA;NA
"Amalthean Goat";"L";NA;NA;NA
"Amaterasu, Japanese Avatar";"M";NA;NA;NA
"Amateur Bounty Hunter";"M";NA;NA;NA
"Amatsu Mikaboshi, Japanese Avatar";"M";NA;NA;NA
"Amber Father";"H";NA;NA;NA
"Amber Ooze";"L";NA;NA;NA
"Amble";"M";NA;NA;NA
"Ambush Drake";"M";"c04f0af5-c0ea-1c4e-51ca-9619db7528f2";"https://talespire.thunderstore.io/package/AzureYukiPoo/AzureYukiPoo_HoardoftheDragonQueen_Pack/";"TRUE"
"Amethyst Dragon Wyrmling";"M";NA;NA;NA
"Amethyst Greatwyrm";"G";NA;NA;NA
"Amidor the Dandelion";"S";NA;NA;NA
"Ammalia Cassalanter";"M";"46af7e19-a108-1509-e20a-289a027c9dae";"https://talespire.thunderstore.io/package/Gonsplitters/Gonsplitters_Waterdeep_Dragon_Heist/";"TRUE"
"Ammut";"L";NA;NA;NA
"Amnizu";"M";NA;NA;NA
"Amorine";"T";NA;NA;NA
"Amorine Mound";"M";NA;NA;NA
"Amphiptere";"M";NA;NA;NA
"Amphisbaena";"M";NA;NA;NA
"Amphoron of Yothri (Juggernaut)";"L";NA;NA;NA
"Amphoron of Yothri (Warrior)";"M";NA;NA;NA
"Amphoron of Yothri (Worker)";"S";NA;NA;NA
"Amrik Vanthampur";"M";NA;NA;NA
"Anakore";"M";NA;NA;NA
"Anakore Dune King";"M";NA;NA;NA
"Anakore Hunter";"M";NA;NA;NA
"Anakore Render";"L";NA;NA;NA
"Anarch";"M";NA;NA;NA
"Anastrasya Karelova";"M";NA;NA;NA
"Anathema";"H";NA;NA;NA
"Ancalag";"T";NA;NA;NA
"Ancestral Inheritor";"M";NA;NA;NA
"Anchorite of Talos";"M";NA;NA;NA
"Ancient Amethyst Dragon";"G";NA;NA;NA
"Ancient Behir";"G";NA;NA;NA
"Ancient Black Dracolich";"G";NA;NA;NA
"Ancient Black Dragon";"G";"29a6e586-cbc7-568c-4b53-5c140f437b18";"https://talespire.thunderstore.io/package/Wulfstahn/AncientDragons/";"TRUE"
"Ancient Blight";"H";NA;NA;NA
"Ancient Blizzard Dragon";"G";NA;NA;NA
"Ancient Blue Dracolich";"G";NA;NA;NA
"Ancient Blue Dragon";"G";"9209e31e-5cd0-2e9a-5c7e-c56c0521c6f0";"https://talespire.thunderstore.io/package/Wulfstahn/AncientDragons/";"TRUE"
"Ancient Bone Naga";"H";NA;NA;NA
"Ancient Boreal Dragon";"G";NA;NA;NA
"Ancient Brass Dragon";"G";NA;NA;NA
"Ancient Bronze Dragon";"G";NA;NA;NA
"Ancient Brown Dragon";"G";NA;NA;NA
"Ancient Chimera";"H";NA;NA;NA
"Ancient Chronomancer";"M";NA;NA;NA
"Ancient Companion";"M";NA;NA;NA
"Ancient Copper Dragon";"G";"db10f8c8-766e-7f3b-5cad-e0a5f4ea82ef";"https://talespire.thunderstore.io/package/Wulfstahn/AncientDragons/";"TRUE"
"Ancient Crystal Dragon";"G";NA;NA;NA
"Ancient Deep Crow";"H";NA;NA;NA
"Ancient Deep Dragon";"G";NA;NA;NA
"Ancient Displacer Dragon";"G";NA;NA;NA
"Ancient Dracolisk";"H";NA;NA;NA
"Ancient Dragon Skeleton";"G";NA;NA;NA
"Ancient Dragon Turtle";"G";NA;NA;NA
"Ancient Dragon Zombie";"G";NA;NA;NA
"Ancient Earthquake Dragon";"G";NA;NA;NA
"Ancient Elder Brain";"H";NA;NA;NA
"Ancient Emerald Dragon";"G";NA;NA;NA
"Ancient Fisherman";"M";NA;NA;NA
"Ancient Flame Dragon";"G";NA;NA;NA
"Ancient Frost Salamander";"G";NA;NA;NA
"Ancient Gold Dragon";"G";NA;NA;NA
"Ancient Gray Dragon";"G";NA;NA;NA
"Ancient Green Dracolich";"G";NA;NA;NA
"Ancient Green Dragon";"G";NA;NA;NA
"Ancient Guardian Naga";"H";NA;NA;NA
"Ancient Hellfire Wyrm";"G";NA;NA;NA
"Ancient Imperial Dragon";"G";NA;NA;NA
"Ancient Leshen";"L";NA;NA;NA
"Ancient Light Dragon";"G";NA;NA;NA
"Ancient Lunar Dragon";"G";NA;NA;NA
"Ancient Mandriano";"H";NA;NA;NA
"Ancient Mithral Dragon";"G";NA;NA;NA
"Ancient Moon Dragon";"G";NA;NA;NA
"Ancient Moonstone Dragon";"G";NA;NA;NA
"Ancient Morkoth";"L";NA;NA;NA
"Ancient Night Hag";"M";NA;NA;NA
"Ancient Purple Dragon";"G";NA;NA;NA
"Ancient Red Dracolich";"G";NA;NA;NA
"Ancient Red Dragon";"G";NA;NA;NA
"Ancient Remorhaz";"G";NA;NA;NA
"Ancient Roper";"H";NA;NA;NA
"Ancient Sapphire Dragon";"G";NA;NA;NA
"Ancient Sea Dragon";"G";NA;NA;NA
"Ancient Sea Serpent";"G";NA;NA;NA
"Ancient Shadow Dragon";"G";NA;NA;NA
"Ancient Shambling Mound";"H";NA;NA;NA
"Ancient Silver Dragon";"G";NA;NA;NA
"Ancient Solar Dragon";"G";NA;NA;NA
"Ancient Spirit Naga";"H";NA;NA;NA
"Ancient Styx Dragon";"G";NA;NA;NA
"Ancient Sun Dragon";"G";NA;NA;NA
"Ancient Time Dragon";"G";NA;NA;NA
"Ancient Titan";"G";NA;NA;NA
"Ancient Topaz Dragon";"G";NA;NA;NA
"Ancient Tornado Dragon";"G";NA;NA;NA
"Ancient Typhoon Dragon";"G";NA;NA;NA
"Ancient Void Dragon";"G";NA;NA;NA
"Ancient Volcanic Dragon";"G";NA;NA;NA
"Ancient Warp Dragon";"G";NA;NA;NA
"Ancient Wasteland Dragon";"G";NA;NA;NA
"Ancient White Dracolich";"G";NA;NA;NA
"Ancient White Dragon";"G";"758c6b9a-8308-bfdf-e2c9-deb4fcfcee5a";"https://talespire.thunderstore.io/package/Wulfstahn/AncientDragons/";"TRUE"
"Ancient Wind Dragon";"G";NA;NA;NA
"Ancient Wyvern";"H";NA;NA;NA
"Andrenjinyi";"G";NA;NA;NA
"Andrik Malkin";"M";NA;NA;NA
"Androsphinx";"L";NA;NA;NA
"Angatra";"M";NA;NA;NA
"Angel of Decay";"M";NA;NA;NA
"Angel of Judgment";"H";NA;NA;NA
"Angel of Love";"M";NA;NA;NA
"Angelic Enforcer";"L";NA;NA;NA
"Angler Worm";"H";NA;NA;NA
"Angry Sorrowsworn";"M";NA;NA;NA
"Anhur, Egyptian Avatar";"M";NA;NA;NA
"Animated Armor";"M";NA;NA;NA
"Animated Ballista";"L";NA;NA;NA
"Animated Bearskin Rug";"L";NA;NA;NA
"Animated Breath";"L";NA;NA;NA
"Animated Broom";"S";NA;NA;NA
"Animated Chained Library";"L";NA;NA;NA
"Animated Glass Statue";"L";NA;NA;NA
"Animated Iron Statue";"L";NA;NA;NA
"Animated Knife";"T";NA;NA;NA
"Animated Object (Huge)";"H";NA;NA;NA
"Animated Object (Large)";"L";NA;NA;NA
"Animated Object (Medium)";"M";NA;NA;NA
"Animated Object (Small)";"S";NA;NA;NA
"Animated Object (Tiny)";"T";NA;NA;NA
"Animated Staff";"M";NA;NA;NA
"Animated Statue";"L";NA;NA;NA
"Animated Statue of Lolth";"H";NA;NA;NA
"Animated Stone Statue";"L";NA;NA;NA
"Animated Stove";"L";NA;NA;NA
"Animated Table";"L";NA;NA;NA
"Animated Trap";"S";NA;NA;NA
"Animated Wood Statue";"L";NA;NA;NA
"Animator's Staff";"S";NA;NA;NA
"Animator's Wand";"T";NA;NA;NA
"Anito";"M";NA;NA;NA
"Aniwye";"L";NA;NA;NA
"Ankashar";"L";NA;NA;NA
"Ankheg";"L";"3e942e93-d0bb-893a-d296-dbd069a9b680";"https://talespire.thunderstore.io/package/Gonsplitters/Gonsplitters_Large_Monsters/";"TRUE"
"Ankheg Brood Queen";"H";NA;NA;NA
"Ankheg Broodling";"S";NA;NA;NA
"Ankheg Drone";"L";NA;NA;NA
"Ankheg Hive Queen";"G";NA;NA;NA
"Ankheg Worker";"M";NA;NA;NA
"Ankhimera";"L";NA;NA;NA
"Ankou Soul Herald";"G";NA;NA;NA
"Ankou Soul Seeker";"L";NA;NA;NA
"Ankylosaurus";"H";"dc630c8c-d2ab-18cd-2a4b-63957a754c86";"https://talespire.thunderstore.io/package/isopropanol/MonsterA/";"FALSE"
"Ankylosaurus Zombie";"H";NA;NA;NA
"Annis Hag";"L";NA;NA;NA
"Annis Hag, Elder";"L";NA;NA;NA
"Anomalocaris";"S";NA;NA;NA
"Anophiloi";"S";NA;NA;NA
"Ant Lion";"L";NA;NA;NA
"Antaia, the Witch Queen";"M";NA;NA;NA
"Anticreed";"T";NA;NA;NA
"Antler-King";"M";NA;NA;NA
"Anubian";"M";NA;NA;NA
"Anvilwrought Raptor";"T";NA;NA;NA
"Anzu";"L";NA;NA;NA
"Apau Perape";"L";NA;NA;NA
"Apaxrusl";"M";NA;NA;NA
"Ape";"M";"ba34930a-9b1c-95b2-a0a7-a9a8b17a4c4b";"https://talespire.thunderstore.io/package/Gonsplitters/Gonsplitters_Beasts_Collection/";"TRUE"
"Apex Tsucora Quori";"L";NA;NA;NA
"Aphemia";"M";NA;NA;NA
"Aphrodite, Greek Avatar";"M";NA;NA;NA
"Apollo, Greek Avatar";"M";NA;NA;NA
"Apprentice";"M";NA;NA;NA
"Apprentice Wild Magic Sorcerer";"M";NA;NA;NA
"Apprentice Wizard";"M";NA;NA;NA
"Aquatic Goblin";"S";NA;NA;NA
"Aquatic Strider";"M";NA;NA;NA
"Arabelle";"";NA;NA;NA
"Arachnocrat";"M";NA;NA;NA
"Arachtus";"L";NA;NA;NA
"Aramusha";"M";NA;NA;NA
"Aranea";"L";NA;NA;NA
"Aranea, Elder";"M";NA;NA;NA
"Arasta";"H";NA;NA;NA
"Arawn, Celtic Avatar";"M";NA;NA;NA
"Arbalester";"T";NA;NA;NA
"Arbeyach, Prince of Swarms";"L";NA;NA;NA
"Arborcyte";"L";NA;NA;NA
"Arboreal Grappler";"M";NA;NA;NA
"Arcadian Avenger";"M";NA;NA;NA
"Arcamag";"T";NA;NA;NA
"Arcana Priest";"M";NA;NA;NA
"Arcanaloth";"M";NA;NA;NA
"Arcanamite";"S";NA;NA;NA
"Arcanaphage";"M";"ccc2c81c-eddf-ce77-72d9-53e549572ab1";"https://talespire.thunderstore.io/package/isopropanol/MonsterA/";"FALSE"
"Arcane Archer";"M";NA;NA;NA
"Arcane Ballista";"L";NA;NA;NA
"Arcane Devourer";"M";NA;NA;NA
"Arcane Entity";"L";NA;NA;NA
"Arcane Guard";"M";NA;NA;NA
"Arcane Guardian";"M";NA;NA;NA
"Arcane Knight";"M";NA;NA;NA
"Arcane Thief";"M";NA;NA;NA
"Arcane Trickster";"M";NA;NA;NA
"Arcane Wyrm";"T";NA;NA;NA
"Arcanoplasm";"L";NA;NA;NA
"Arch-wraith";"H";NA;NA;NA
"Arch Priest Priestess";"M";NA;NA;NA
"Arch Shepherd";"M";NA;NA;NA
"Archaeopteryx";"T";NA;NA;NA
"Archaic";"G";NA;NA;NA
"Archdruid";"M";NA;NA;NA
"Archdruid of the Land (Arctic)";"M";NA;NA;NA
"Archdruid of the Land (Coastal)";"M";NA;NA;NA
"Archdruid of the Land (Desert)";"M";NA;NA;NA
"Archdruid of the Land (Forest)";"M";NA;NA;NA
"Archdruid of the Land (Grassland)";"M";NA;NA;NA
"Archdruid of the Land (Mountain)";"M";NA;NA;NA
"Archdruid of the Land (Swamp)";"M";NA;NA;NA
"Archdruid of the Land (Underdark)";"M";NA;NA;NA
"Archdruid of the Moon";"M";NA;NA;NA
"Archdruid, Legendary";"M";NA;NA;NA
"Archelon";"L";NA;NA;NA
"Archelon Zombie";"L";NA;NA;NA
"Archer";"M";NA;NA;NA
"Archer Line";"H";NA;NA;NA
"Archlich";"M";NA;NA;NA
"Archmage";"M";NA;NA;NA
"Archmage, Legendary";"M";NA;NA;NA
"Archon of Falling Stars";"M";NA;NA;NA
"Archon Of Redemption";"L";NA;NA;NA
"Archon of the Triumvirate";"M";NA;NA;NA
"Arclight Phoenix";"M";NA;NA;NA
"Ares, Greek Avatar";"M";NA;NA;NA
"Aribeth de Tylmarande";"M";NA;NA;NA
"Aridni";"S";NA;NA;NA
"Arkhan the Cruel";"M";NA;NA;NA
"Armageddon Beast";"C";NA;NA;NA
"Armand";"S";NA;NA;NA
"Armand Warden";"S";NA;NA;NA
"Armanite";"L";NA;NA;NA
"Armed Skeleton";"M";NA;NA;NA
"Armored Saber-Toothed Tiger";"";NA;NA;NA
"Armory Golem";"L";NA;NA;NA
"Armour Sliver";"L";NA;NA;NA
"Army Drummer";"M";NA;NA;NA
"Arrant Quill";"M";NA;NA;NA
"Arrigal";"M";NA;NA;NA
"Arrow Demon";"M";NA;NA;NA
"Art Elemental Mascot";"S";NA;NA;NA
"Artaaglith";"M";NA;NA;NA
"Artemis, Greek Avatar";"M";NA;NA;NA
"Artificer";"M";NA;NA;NA
"Artificer Adventurer";"M";NA;NA;NA
"Artificer Alchemist";"M";NA;NA;NA
"Artificer Gunsmith";"M";NA;NA;NA
"Artificer Hero";"M";NA;NA;NA
"Artificer Initiate";"M";NA;NA;NA
"Artificer Legend";"M";NA;NA;NA
"Artificer of Yothri";"M";NA;NA;NA
"Artificial Giant Crab";"M";NA;NA;NA
"Artillerist";"M";NA;NA;NA
"Artus Cimber";"M";NA;NA;NA
"Aruk Thundercaller Thuunlakalaga";"M";NA;NA;NA
"Asaatth Blade";"M";NA;NA;NA
"Asaatth Maleficent";"M";NA;NA;NA
"Asaatth Witchblade";"M";NA;NA;NA
"Asakku";"L";NA;NA;NA
"Asanbosam";"L";NA;NA;NA
"Ascendant Councilor";"M";NA;NA;NA
"Ascomoid";"L";NA;NA;NA
"Ash Drake";"S";NA;NA;NA
"Ash Elemental Myrmidon";"M";NA;NA;NA
"Ash Mephit";"S";NA;NA;NA
"Ash Phoenix";"L";NA;NA;NA
"Ash Zombie";"M";NA;NA;NA
"Asharra";"M";NA;NA;NA
"Ashcloud";"L";NA;NA;NA
"Ashen Custodian";"M";NA;NA;NA
"Ashen Rider";"M";NA;NA;NA
"Ashmede";"L";NA;NA;NA
"Asmodeus";"H";NA;NA;NA
"Aspect of Asmodeus";"L";NA;NA;NA
"Aspect of Atropus";"G";NA;NA;NA
"Aspect of Bael";"L";NA;NA;NA
"Aspect of Bahamut";"G";NA;NA;NA
"Aspect of Baphomet";"H";NA;NA;NA
"Aspect of Bel";"L";NA;NA;NA
"Aspect of Demogorgon";"H";NA;NA;NA
"Aspect of Dispater";"M";NA;NA;NA
"Aspect of Fraz-Urb'luu";"L";NA;NA;NA
"Aspect of Geryon";"H";NA;NA;NA
"Aspect of Graz'zt";"L";NA;NA;NA
"Aspect of Juiblex";"H";NA;NA;NA
"Aspect of Kostchtchie";"L";NA;NA;NA
"Aspect of Levistus";"M";NA;NA;NA
"Aspect of Lolth";"H";NA;NA;NA
"Aspect of Mephistopheles";"L";NA;NA;NA
"Aspect of Moloch";"L";NA;NA;NA
"Aspect of Orcus";"H";NA;NA;NA
"Aspect of Tiamat";"H";NA;NA;NA
"Aspect of Vengeance";"M";NA;NA;NA
"Aspect of Yeenoghu";"H";NA;NA;NA
"Aspect of Zariel";"L";NA;NA;NA
"Aspect of Zuggtmoy";"L";NA;NA;NA
"Assassin";"M";NA;NA;NA
"Assassin Bug";"M";NA;NA;NA
"Assassin Devil";"M";NA;NA;NA
"Assassin Imp";"T";NA;NA;NA
"Assassin Imp Murder Lord";"T";NA;NA;NA
"Assassin Vine";"L";NA;NA;NA
"Assassin, Legendary";"M";NA;NA;NA
"Asteroid Spider";"G";NA;NA;NA
"Astral Blight";"M";NA;NA;NA
"Astral Chimera";"L";NA;NA;NA
"Astral Deva";"M";NA;NA;NA
"Astral Devourer";"M";NA;NA;NA
"Astral Dreadnought";"G";NA;NA;NA
"Astral Elf Aristocrat";"M";NA;NA;NA
"Astral Elf Commander";"M";NA;NA;NA
"Astral Elf Honor Guard";"M";NA;NA;NA
"Astral Elf Star Priest";"M";NA;NA;NA
"Astral Elf Warrior";"M";NA;NA;NA
"Astral Moth";"L";NA;NA;NA
"Astral Shark";"L";NA;NA;NA
"Astral Snapper";"M";NA;NA;NA
"Astral Stalker";"M";NA;NA;NA
"Astrapia";"T";NA;NA;NA
"Astri";"S";NA;NA;NA
